gene_id	KO_840	KO_843	KO_857	KO_891	WT_841	WT_842	WT_858	WT_892
ENSMUSG00000086240.4	11	20	10	6	18	12	4	12
ENSMUSG00000048411.4	0	0	0	0	2	0	0	0
ENSMUSG00000081557.2	2	0	12	4	1	0	4	1
ENSMUSG00000058590.2	0	0	0	0	0	0	0	0
ENSMUSG00000101235.1	0	0	0	0	0	0	0	0
ENSMUSG00000064433.1	0	0	0	0	0	0	0	0
ENSMUSG00000080625.1	0	0	0	0	0	0	0	0
ENSMUSG00000080391.1	0	0	0	0	0	0	0	0
ENSMUSG00000099257.1	0	0	0	0	0	0	0	0
ENSMUSG00000099492.1	24	42	31	20	20	21	10	21
ENSMUSG00000101726.1	1	0	0	0	0	0	0	0
ENSMUSG00000096829.1	0	0	0	0	0	0	0	0
ENSMUSG00000098883.1	0	0	0	0	0	0	0	0
ENSMUSG00000053185.2	0	0	0	0	0	0	0	0
ENSMUSG00000100261.1	30	25	27	26	29	12	28	22
ENSMUSG00000101180.1	0	0	0	0	0	0	0	0
ENSMUSG00000048874.15	618	608	6342	6771	583	307	5963	5157
ENSMUSG00000103783.1	58	8	14	19	9	13	16	7
ENSMUSG00000104315.1	70	37	43	55	65	16	29	16
ENSMUSG00000026064.15	32899	25538	25504	21257	29652	17191	23844	20812
ENSMUSG00000086151.3	6	2	0	0	5	0	3	1
ENSMUSG00000086726.2	2	0	2	16	12	2	16	8
ENSMUSG00000087346.2	24	31	8	5	6	15	33	25
ENSMUSG00000100371.1	176	107	113	203	205	121	315	144
ENSMUSG00000100237.1	29	0	7	20	43	4	35	18
ENSMUSG00000098529.1	0	0	0	0	0	0	0	0
ENSMUSG00000086727.7	0	0	0	1	3	0	0	0
ENSMUSG00000100910.1	10	10	7	16	8	4	6	7
ENSMUSG00000099796.1	1	0	0	0	0	0	0	0
ENSMUSG00000050217.13	0	0	0	0	2	0	0	0
ENSMUSG00000026063.4	0	0	0	0	0	0	0	0
ENSMUSG00000077664.1	0	0	0	0	0	0	0	0
ENSMUSG00000100205.1	0	0	0	0	0	0	0	0
ENSMUSG00000100592.1	0	0	0	0	0	0	0	0
ENSMUSG00000094215.2	1	3	0	0	1	0	1	2
ENSMUSG00000101093.1	0	0	0	0	0	0	0	1
ENSMUSG00000070960.4	74	80	54	28	38	42	58	50
ENSMUSG00000088620.1	0	0	0	0	0	0	0	0
ENSMUSG00000082159.2	0	0	0	0	0	0	1	0
ENSMUSG00000026058.11	1	2	0	0	0	0	1	2
ENSMUSG00000064688.1	0	0	0	0	0	0	0	0
ENSMUSG00000103482.1	0	0	0	0	0	0	0	0
ENSMUSG00000104498.1	0	0	0	0	0	0	0	0
ENSMUSG00000104313.1	0	0	0	0	0	0	0	0
ENSMUSG00000102865.1	0	0	0	0	1	0	0	0
ENSMUSG00000102321.1	0	0	0	0	0	0	0	0
ENSMUSG00000091318.2	0	0	1	0	7	0	0	0
ENSMUSG00000089489.1	0	0	0	0	0	0	0	0
ENSMUSG00000104433.1	0	0	0	0	0	0	0	0
ENSMUSG00000089395.1	0	0	0	0	0	0	0	0
ENSMUSG00000102926.1	0	0	0	0	0	0	0	0
ENSMUSG00000100497.1	0	0	0	0	0	0	0	0
ENSMUSG00000102917.1	0	0	0	0	0	0	0	0
ENSMUSG00000100481.1	108	84	70	28	140	48	62	80
ENSMUSG00000100590.1	0	0	0	0	0	0	0	0
ENSMUSG00000088750.1	0	0	0	0	0	0	0	0
ENSMUSG00000104230.1	0	0	0	0	0	0	0	0
ENSMUSG00000101754.2	0	0	0	0	0	0	0	0
ENSMUSG00000065223.1	0	0	0	0	0	0	0	0
ENSMUSG00000100318.2	0	0	0	0	0	0	0	0
ENSMUSG00000101612.2	0	0	1	0	0	0	0	0
ENSMUSG00000065260.1	0	0	0	0	0	0	0	0
ENSMUSG00000026134.11	706	484	537	301	696	242	239	392
ENSMUSG00000101682.1	0	1	2	0	2	0	0	0
ENSMUSG00000102714.1	7	1	0	0	1	1	0	0
ENSMUSG00000102093.1	0	4	0	0	0	0	0	0
ENSMUSG00000103746.1	16	10	9	11	8	1	1	5
ENSMUSG00000102198.1	0	0	0	0	0	5	0	0
ENSMUSG00000004768.14	1411	1258	1389	1258	1361	735	926	1221
ENSMUSG00000042215.8	257	252	410	221	570	256	340	440
ENSMUSG00000103072.1	0	0	0	0	0	0	0	0
ENSMUSG00000042197.13	1895	1737	2083	1684	2318	1079	1793	1971
ENSMUSG00000081402.4	2	6	9	3	4	0	0	8
ENSMUSG00000042182.16	14	15	6	1	5	6	4	5
ENSMUSG00000104416.1	0	0	0	0	0	0	0	0
ENSMUSG00000026131.17	5044	6592	100472	78324	4948	2323	70546	101633
ENSMUSG00000103596.1	0	0	0	0	0	0	0	0
ENSMUSG00000099382.1	0	0	0	0	0	0	0	0
ENSMUSG00000084506.1	0	0	0	0	0	0	0	2
